modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
CIVIC,HONDA,117900.0,49000.0,automatico,flex,Branco,2020,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,174999.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,179990.0,4097.0,automatico,gasolina,Prata,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
TORO,FIAT,145000.0,90595.0,,diesel,Azul,2021,False,JRCA Seminovos
COROLLA,TOYOTA,162000.0,8700.0,automatico,flex,Branco,2023,False,JRCA Seminovos
COMPASS,JEEP,121000.0,37489.0,,flex,Branco,2021,False,JRCA Seminovos
COMPASS,JEEP,121000.0,37489.0,,flex,Branco,2021,False,JRCA Seminovos
COROLLA,TOYOTA,162000.0,8700.0,automatico,flex,Branco,2023,False,JRCA Seminovos
TUCSON,HYUNDAI,142990.0,36676.0,,gasolina,Branco,2021,False,Autoforte Veículos Ltda
FUSION,FORD,110800.0,103000.0,automatico,gasolina,Preto,2017,False,Aracaju Automóveis 
KICKS,NISSAN,86800.0,90000.0,,flex,Branco,2017,False,Aracaju Automóveis 
COMPASS,JEEP,105800.0,51000.0,automatico,flex,Branco,2017,False,Aracaju Automóveis 
208,PEUGEOT,72000.0,14494.0,manual,flex,Preto,2022,False,Isaias Automóveis - Aracaju
WR-V,HONDA,96800.0,52250.0,automatico,flex,Cinza,2020,False,Isaias Automóveis - Aracaju
HR-V,HONDA,126000.0,22043.0,automatico,flex,Branco,2021,False,IDEAL MULTIMARCAS
HILUX,TOYOTA,205000.0,58000.0,automatico,diesel,Prata,2020,False,Vip Automóveis - Aracaju
YARIS,TOYOTA,92000.0,13000.0,,flex,Branco,2020,False,Vip Automóveis - Aracaju
TRAILBLAZER,CHEVROLET,205000.0,77220.0,automatico,diesel,Branco,2018,False,Vip Automóveis - Aracaju
RENEGADE,JEEP,128000.0,11535.0,automatico,flex,Preto,2022,False,Vip Automóveis - Aracaju
HB20,HYUNDAI,44500.0,68600.0,,flex,Prata,2015,False,Bruno Rodrigues Clementino
SAVEIRO,VOLKSWAGEN,65800.0,55555.0,manual,flex,Branco,2018,False,Edson Veículos - Aracaju
SAVEIRO,VOLKSWAGEN,65800.0,55555.0,manual,flex,Branco,2018,False,Edson Veículos - Aracaju
VIRTUS,VOLKSWAGEN,84990.0,30825.0,manual,flex,Cinza,2022,False,Autoforte Veículos Ltda
FIESTA,FORD,52000.0,75384.0,,flex,Branco,2016,False,VIA CAR VEÍCULOS
TORO,FIAT,105000.0,55000.0,automatico,flex,Marrom,2019,False,JLA Corretora
S10,CHEVROLET,199900.0,58000.0,automatico,diesel,Cinza,2021,False,Gabriel Lyra
HB20S,HYUNDAI,77990.0,32000.0,automatico,flex,Prata,2019,False,Podium Automóveis 
VIRTUS,VOLKSWAGEN,80000.0,51767.0,manual,flex,Prata,2021,False,Gama Seminovos 
YARIS,TOYOTA,86000.0,42000.0,,flex,Branco,2020,False,JLA Corretora
RENEGADE,JEEP,91800.0,82836.0,automatico,flex,Preto,2021,False,Isaias Automóveis - Aracaju
TRACKER,CHEVROLET,94000.0,65700.0,automatico,flex,Vermelho,2018,False,Isaias Automóveis - Aracaju
FRONTIER,NISSAN,165000.0,95000.0,automatico,diesel,Prata,2019,False,ANDRE LUIS RAMIRES SEABRA
TRACKER,CHEVROLET,94990.0,30902.0,automatico,flex,Cinza,2019,False,Toyolex Seminovos - Aracaju
AIRCROSS,CITROËN,47900.0,72585.0,manual,flex,Branco,2015,False,PRIMECAR AUTOMÓVEIS
KWID,RENAULT,43000.0,49249.0,manual,flex,Laranja,2019,False,Gama Seminovos 
RENEGADE,JEEP,79500.0,26000.0,automatico,flex,Branco,2019,False,JOSE KLEBERTH TENORIO FILHO
FOX,VOLKSWAGEN,71990.0,19000.0,manual,flex,Branco,2022,False,TOPCAR Veículos
DUSTER,RENAULT,65999.0,69500.0,manual,flex,Marrom,2016,False,TOPCAR Veículos
GOL,VOLKSWAGEN,55000.0,45000.0,manual,flex,Prata,2021,False,Foco Veículos
RENEGADE,JEEP,75900.0,95000.0,automatico,flex,Preto,2016,False,Automania Multimarcas - Aracaju
T-CROSS,VOLKSWAGEN,135900.0,26000.0,automatico,flex,Branco,2021,False,Automania Multimarcas - Aracaju
KWID,RENAULT,52000.0,52832.0,manual,flex,Branco,2022,False,GILVAN VEÍCULOS
ONIX,CHEVROLET,64000.0,33992.0,manual,flex,Branco,2021,False,GILVAN VEÍCULOS
HB20X,HYUNDAI,87000.0,41596.0,automatico,flex,Prata,2021,False,GILVAN VEÍCULOS
LOGAN,RENAULT,51000.0,80739.0,automatico,flex,Branco,2020,False,GILVAN VEÍCULOS
ECOSPORT,FORD,75000.0,77349.0,automatico,flex,Branco,2020,False,GILVAN VEÍCULOS
VIRTUS,VOLKSWAGEN,69000.0,47289.0,automatico,flex,Cinza,2019,False,SERTANEJO VEÍCULOS
KA,FORD,47500.0,104000.0,manual,flex,Branco,2019,False,SERTANEJO VEÍCULOS
TUCSON,HYUNDAI,57000.0,70000.0,automatico,flex,Cinza,2015,False,JLA Corretora
T-CROSS,VOLKSWAGEN,108990.0,66000.0,automatico,flex,Cinza,2020,False,XCAR PLUS VEÍCULOS
T-CROSS,VOLKSWAGEN,108990.0,18215.0,automatico,flex,Prata,2020,False,XCAR PLUS VEÍCULOS
DUSTER,RENAULT,64990.0,71227.0,manual,flex,Cinza,2016,False,TOPCAR Veículos
NIVUS,VOLKSWAGEN,118990.0,25000.0,automatico,flex,Cinza,2021,False,Gama Seminovos 
CIVIC,HONDA,105000.0,50763.0,automatico,flex,Preto,2017,False,Isaias Automóveis - Aracaju
ONIX,CHEVROLET,45000.0,110545.0,manual,flex,Branco,2014,False,ATLANTIC MULTIMARCAS
ONIX,CHEVROLET,56000.0,40925.0,manual,flex,Branco,2020,False,MGM AUTOMÓVEIS
COBALT,CHEVROLET,34000.0,144000.0,,flex,Prata,2012,False,Foco Veículos
TORO,FIAT,134870.0,77000.0,automatico,diesel,Vermelho,2019,False,FOFÃO MULTIMARCAS
CAPTUR,RENAULT,118000.0,14167.0,,flex,Cinza,2022,False,PRIMECAR AUTOMÓVEIS
PRISMA,CHEVROLET,49800.0,121640.0,manual,flex,Branco,2015,False,Isaias Automóveis - Aracaju
KICKS,NISSAN,87800.0,97848.0,,flex,Cinza,2018,False,Isaias Automóveis - Aracaju
KICKS,NISSAN,91800.0,60110.0,,flex,Branco,2020,False,Isaias Automóveis - Aracaju
SPIN,CHEVROLET,86500.0,66000.0,automatico,flex,Azul,2020,False,Auto Flex
GOL,VOLKSWAGEN,55990.0,76286.0,manual,flex,Branco,2022,False,Boa Terra Veículos Maceió
POLO,VOLKSWAGEN,75990.0,26185.0,manual,flex,Branco,2021,False,Boa Terra Veículos Maceió
KWID,RENAULT,45990.0,59418.0,manual,flex,Vermelho,2018,False,81 AUTOS 
TRAILBLAZER,CHEVROLET,220000.0,46000.0,automatico,diesel,Preto,2020,False,Cide Demetrios Mendonça Teles
KICKS,NISSAN,82000.0,53281.0,,flex,Branco,2019,False,MARVEL VEÍCULOS SEMINOVOS
TORO,FIAT,120000.0,61699.0,automatico,diesel,Preto,2019,False,MARVEL VEÍCULOS SEMINOVOS
KA,FORD,54900.0,37000.0,manual,flex,Prata,2020,False,CAMESA AUTOMÓVEIS
VIRTUS,VOLKSWAGEN,77990.0,68858.0,automatico,flex,Grafite,2018,False,Gama  Seminovos - Aracaju
TRAILBLAZER,CHEVROLET,182990.0,90000.0,automatico,diesel,Branco,2018,False,Capela Revcar
COMPASS,JEEP,175000.0,46090.0,automatico,diesel,Marrom,2021,False,Francisco Ferreira dos Santos Filho
PUNTO,FIAT,42000.0,70788.0,manual,flex,Branco,2015,False,MGM AUTOMÓVEIS
HB20,HYUNDAI,53900.0,101000.0,automatico,flex,Branco,2015,False,MGM AUTOMÓVEIS
TORO,FIAT,109900.0,57392.0,automatico,flex,Prata,2021,False,MGM AUTOMÓVEIS
COMPASS,JEEP,146000.0,31000.0,automatico,diesel,2020,2020,False,NOSSATERRA SEMINOVOS FIAT / JEEP
RANGER,FORD,144990.0,154000.0,automatico,diesel,Branco,2017,False,Capela Revcar
HB20S,HYUNDAI,54990.0,61902.0,automatico,flex,Prata,2015,False,Toyolex Seminovos - Aracaju
VERSA,NISSAN,71800.0,100500.0,,flex,Branco,2020,False,Isaias Automóveis - Aracaju
SOUL,KIA,55990.0,87761.0,automatico,flex,Branco,2014,False,XCAR PLUS VEÍCULOS
ARGO,FIAT,65000.0,46489.0,manual,flex,Branco,2022,False,Foco Veículos
ARGO,FIAT,58800.0,37000.0,manual,flex,Prata,2021,False,Edson Veículos - Aracaju
POLO,VOLKSWAGEN,85000.0,83671.0,automatico,flex,Branco,2019,False,Supreme Car
KWID,RENAULT,46990.0,74152.0,manual,flex,Branco,2020,False,XCAR PLUS VEÍCULOS
HB20,HYUNDAI,68990.0,80000.0,automatico,flex,Branco,2019,False,XCAR PLUS VEÍCULOS
HR-V,HONDA,113990.0,66112.0,automatico,flex,Azul,2020,False,XCAR PLUS VEÍCULOS
RANGER,FORD,126800.0,140000.0,automatico,diesel,Prata,2015,False,Aracaju Automóveis 
VERSA,NISSAN,67000.0,63051.0,manual,flex,Branco,2020,False,Gama Seminovos 
HB20,HYUNDAI,47000.0,66326.0,manual,flex,Branco,2016,False,Gama Seminovos 
STRADA,FIAT,79800.0,47000.0,manual,flex,Branco,2021,False,Edson Veículos - Aracaju
C3,CITROËN,43800.0,66643.0,automatico,flex,Branco,2015,False,Edson Veículos - Aracaju
HB20S,HYUNDAI,48800.0,102000.0,manual,flex,Azul,2015,False,Aracaju Automóveis 
KA,FORD,70800.0,30000.0,automatico,flex,Branco,2021,False,Aracaju Automóveis 
HILUX,TOYOTA,222800.0,150000.0,automatico,diesel,Preto,2017,False,Aracaju Automóveis 
RENEGADE,JEEP,79800.0,61000.0,automatico,flex,Cinza,2018,False,Aracaju Automóveis 
STRADA,FIAT,99800.0,42000.0,manual,flex,Branco,2022,False,Aracaju Automóveis 
CRUZE,CHEVROLET,86800.0,58000.0,automatico,flex,Preto,2017,False,Aracaju Automóveis 
SPORTAGE,KIA,85800.0,103000.0,automatico,flex,Preto,2014,False,Aracaju Automóveis 
FIORINO,FIAT,79990.0,79843.0,manual,flex,Branco,2020,False,TOPCAR Veículos
KWID,RENAULT,43000.0,79089.0,manual,flex,Branco,2019,False,Gama Seminovos 
COROLLA,TOYOTA,103800.0,112000.0,automatico,flex,Prata,2017,False,Aracaju Automóveis 
FRONTIER,NISSAN,125800.0,62000.0,automatico,diesel,Branco,2016,False,Aracaju Automóveis 
DUSTER,RENAULT,96000.0,77286.0,,flex,Cinza,2021,False,Gama Seminovos 
COMPASS,JEEP,160990.0,22456.0,automatico,diesel,Branco,2021,False,Gama Seminovos 
KA,FORD,46500.0,52020.0,manual,flex,Branco,2018,False,Foco Veículos
HB20S,HYUNDAI,74900.0,9702.0,manual,flex,Branco,2022,False,CAMESA AUTOMÓVEIS
HB20S,HYUNDAI,67990.0,76100.0,automatico,flex,Branco,2017,False,Manchete Multimarcas
HB20,HYUNDAI,66990.0,76438.0,manual,flex,Prata,2019,False,Manchete Multimarcas
HR-V,HONDA,123800.0,35280.0,automatico,flex,Branco,2020,False,Isaias Automóveis - Aracaju
HB20,HYUNDAI,60990.0,52000.0,manual,flex,Prata,2019,False,Manchete Multimarcas
ONIX,CHEVROLET,80990.0,44866.0,manual,flex,Branco,2021,False,Manchete Multimarcas
UP,VOLKSWAGEN,59000.0,72837.0,manual,flex,Laranja,2018,False,SEVEN CAR MULTIMARCAS
SANDERO,RENAULT,49000.0,40000.0,manual,flex,Branco,2020,False,SEVEN CAR MULTIMARCAS
ONIX,CHEVROLET,81990.0,38758.0,automatico,flex,Prata,2020,False,Manchete Multimarcas
SANDERO,RENAULT,24000.0,117922.0,,flex,Prata,2012,False,Daiana Vanessa de Araujo 
Q3,AUDI,128990.0,58224.0,,flex,Preto,2018,False,Manchete Multimarcas
CRUZE,CHEVROLET,127900.0,44000.0,automatico,flex,Branco,2022,False,Automania Multimarcas - Aracaju
308,PEUGEOT,35900.0,123000.0,manual,flex,Branco,2013,False,Automania Multimarcas - Aracaju
TORO,FIAT,132000.0,19666.0,automatico,flex,Preto,2022,False,Mago Automóveis - Aracaju
T-CROSS,VOLKSWAGEN,108000.0,59245.0,automatico,flex,Preto,2020,False,Mago Automóveis - Aracaju
ECOSPORT,FORD,53000.0,121900.0,automatico,flex,Branco,2014,False,Mago Automóveis - Aracaju
HB20S,HYUNDAI,72000.0,78000.0,automatico,flex,Branco,2019,False,KM VEÍCULOS
COMPASS,JEEP,147900.0,74409.0,automatico,diesel,Prata,2020,False,Taiyo Auto Import
FIT,HONDA,64900.0,86212.0,automatico,flex,Cinza,2016,False,Taiyo Auto Import
SPIN,CHEVROLET,47000.0,82000.0,manual,flex,2018,2018,False,Jordan Ronald Correia De Araújo
KICKS,NISSAN,85000.0,98000.0,,flex,Vermelho,2019,False,NOSSATERRA SEMINOVOS FIAT / JEEP
HB20,HYUNDAI,64990.0,76158.0,automatico,flex,Branco,2018,False,Grupo R1 Autos 
CRETA,HYUNDAI,82990.0,66902.0,manual,flex,Prata,2018,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,182990.0,11469.0,automatico,flex,Branco,2022,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,157990.0,57281.0,automatico,flex,Preto,2022,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,139990.0,24902.0,automatico,flex,Preto,2020,False,Toyolex Seminovos - Aracaju
ETIOS,TOYOTA,59990.0,46696.0,automatico,flex,Branco,2019,False,TOPCAR Veículos
RENEGADE,JEEP,69990.0,97983.0,manual,flex,Branco,2016,False,TOPCAR Veículos
GRAND,FIAT,61990.0,39407.0,manual,flex,Prata,2021,False,TOPCAR Veículos
ECOSPORT,FORD,53800.0,78770.0,manual,flex,Preto,2014,False,Isaias Automóveis - Aracaju
HB20,HYUNDAI,49900.0,130020.0,manual,flex,Bege,2017,False,Isaias Automóveis - Aracaju
STRADA,FIAT,78000.0,30000.0,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS
C3,CITROËN,44000.0,76000.0,manual,flex,Branco,2017,False,ROGÉRIO AUTOMÓVEIS
POLO,VOLKSWAGEN,69900.0,111123.0,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS
SAVEIRO,VOLKSWAGEN,69900.0,33306.0,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS
GLA,MERCEDES-BENZ,138000.0,54974.0,automatico,flex,Preto,2018,False,Gama Seminovos 
SANDERO,RENAULT,49990.0,44000.0,automatico,flex,Branco,2020,False,Podium Automóveis 
TUCSON,HYUNDAI,47990.0,130000.0,automatico,flex,Preto,2013,False,Podium Automóveis 
HB20S,HYUNDAI,54990.0,78000.0,automatico,flex,Preto,2015,False,Podium Automóveis 
S10,CHEVROLET,96990.0,110000.0,manual,flex,Prata,2014,False,Podium Automóveis 
SANDERO,RENAULT,50990.0,48000.0,automatico,flex,Prata,2020,False,Podium Automóveis 
ECOSPORT,FORD,72000.0,57288.0,manual,flex,Vermelho,2019,False,Gama Seminovos 
AIRCROSS,CITROËN,62990.0,41311.0,manual,flex,Marrom,2018,False,Grupo R1 Autos 
VOYAGE,VOLKSWAGEN,62000.0,42504.0,manual,flex,Branco,2022,False,NOSSATERRA SEMINOVOS FIAT / JEEP
CIVIC,HONDA,81990.0,49000.0,automatico,flex,Preto,2016,False,TOPCAR Veículos
COROLLA,TOYOTA,124990.0,32604.0,automatico,flex,Prata,2020,False,Toyolex Seminovos - Aracaju
RAV4,TOYOTA,216990.0,40503.0,automatico,flex,Cinza,2020,False,Toyolex Seminovos - Aracaju
CRUZE,CHEVROLET,89990.0,52902.0,automatico,flex,Cinza,2018,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,100100.0,92909.0,automatico,flex,Prata,2018,False,Toyolex Seminovos - Aracaju
VERSA,NISSAN,54990.0,42902.0,manual,flex,Cinza,2017,False,Toyolex Seminovos - Aracaju
CITY,HONDA,63800.0,139390.0,automatico,flex,Prata,2015,False,Isaias Automóveis - Aracaju
HB20S,HYUNDAI,53800.0,148660.0,automatico,flex,Preto,2014,False,Isaias Automóveis - Aracaju
ONIX,CHEVROLET,94000.0,13300.0,automatico,flex,Vermelho,2022,False,Isaias Automóveis - Aracaju
COROLLA,TOYOTA,129000.0,36089.0,automatico,flex,Prata,2021,False,SERTANEJO VEÍCULOS
RANGER,FORD,225000.0,10293.0,automatico,diesel,Cinza,2022,False,Gama Seminovos 
ONIX,CHEVROLET,80900.0,44526.0,automatico,flex,Branco,2020,False,SERTANEJO VEÍCULOS
KA,FORD,55000.0,108205.0,manual,flex,Preto,2016,False,RAFA VEÍCULOS
VIRTUS,VOLKSWAGEN,75000.0,103000.0,manual,flex,Branco,2020,False,CASARÃO VEICULOS
VERSA,NISSAN,58000.0,72000.0,manual,flex,Prata,2019,False,CASARÃO VEICULOS
KA,FORD,50000.0,48031.0,manual,flex,Branco,2018,False,Gama Seminovos 
CIVIC,HONDA,108000.0,58068.0,manual,flex,Prata,2018,False,RAFA VEÍCULOS
HB20S,HYUNDAI,51000.0,78000.0,manual,flex,Branco,2015,False,MARVEL VEÍCULOS SEMINOVOS
COBALT,CHEVROLET,64800.0,91640.0,automatico,flex,Azul,2018,False,Isaias Automóveis - Aracaju
LOGAN,RENAULT,47800.0,129580.0,manual,flex,Prata,2017,False,Isaias Automóveis - Aracaju
AIRCROSS,CITROËN,54800.0,66540.0,manual,flex,Branco,2017,False,Isaias Automóveis - Aracaju
TORO,FIAT,145000.0,90595.0,,diesel,Azul,2021,False,JRCA Seminovos
COROLLA,TOYOTA,128000.0,84166.0,,flex,Preto,2022,False,JRCA Seminovos
CIVIC,HONDA,112900.0,59684.0,automatico,flex,Prata,2020,False,SHOPCAR MULTIMARCAS
COMPASS,JEEP,151990.0,26876.0,automatico,flex,Cinza,2020,False,Gama Seminovos 
SANDERO,RENAULT,38500.0,89129.0,manual,flex,Prata,2016,False,MGM AUTOMÓVEIS
ONIX,CHEVROLET,82900.0,36850.0,automatico,flex,Preto,2020,False,ROGÉRIO AUTOMÓVEIS
UNO,FIAT,44000.0,71263.0,manual,flex,Verde,2016,False,ROGÉRIO AUTOMÓVEIS
TRACKER,CHEVROLET,126800.0,3500.0,automatico,flex,Prata,2023,False,Edson Veículos - Aracaju
RENEGADE,JEEP,82990.0,38394.0,automatico,flex,Cinza,2021,False,Boa Terra Veículos Maceió
RENEGADE,JEEP,106990.0,76348.0,automatico,flex,Prata,2020,False,Boa Terra Veículos Maceió
CRETA,HYUNDAI,88900.0,75715.0,automatico,flex,Prata,2017,False,Taiyo Auto Import
CIVIC,HONDA,119900.0,22064.0,automatico,flex,Azul,2021,False,Taiyo Auto Import
T,VOLKSWAGEN,110990.0,14000.0,automatico,flex,Prata,2020,False,Manchete Multimarcas
HB20,HYUNDAI,46990.0,74490.0,manual,flex,Azul,2015,False,81 AUTOS 
TRAILBLAZER,CHEVROLET,209990.0,72000.0,automatico,diesel,Cinza,2019,False,Manchete Multimarcas
ONIX,CHEVROLET,52990.0,58867.0,manual,flex,Vinho,2019,False,Manchete Multimarcas
CRUZE,CHEVROLET,118990.0,58995.0,automatico,flex,Vinho,2020,False,Manchete Multimarcas
MOBI,FIAT,51990.0,44422.0,manual,flex,Branco,2020,False,Manchete Multimarcas
COROLLA,TOYOTA,179990.0,20015.0,automatico,flex,Branco,2022,False,Toyolex Seminovos - Aracaju
HB20X,HYUNDAI,82990.0,48550.0,automatico,flex,Cinza,2020,False,Toyolex Seminovos - Aracaju
T-CROSS,VOLKSWAGEN,102000.0,63000.0,automatico,flex,Prata,2020,False,Isaias Automóveis - Aracaju
ONIX,CHEVROLET,92000.0,7000.0,manual,flex,Azul,2023,False,NOSSATERRA SEMINOVOS FIAT / JEEP
L200,MITSUBISHI,210800.0,28910.0,automatico,diesel,Branco,2022,False,Isaias Automóveis - Aracaju
HILUX,TOYOTA,189800.0,117630.0,automatico,diesel,Branco,2016,False,Isaias Automóveis - Aracaju
TORO,FIAT,162800.0,41460.0,automatico,diesel,Branco,2021,False,Isaias Automóveis - Aracaju
HB20S,HYUNDAI,53800.0,141450.0,automatico,flex,Preto,2014,False,Isaias Automóveis - Aracaju
COMPASS,JEEP,165800.0,85750.0,automatico,diesel,Preto,2020,False,Isaias Automóveis - Aracaju
DUSTER,RENAULT,61800.0,81310.0,manual,flex,Prata,2016,False,Isaias Automóveis - Aracaju
TORO,FIAT,105000.0,67620.0,automatico,flex,Azul,2020,False,Supreme Car
CRETA,HYUNDAI,83800.0,49000.0,automatico,flex,Branco,2017,False,Edson Veículos - Aracaju
ECOSPORT,FORD,53900.0,74115.0,automatico,flex,Branco,2014,False,CAMESA AUTOMÓVEIS
WR-V,HONDA,83800.0,17800.0,automatico,flex,Prata,2018,False,Edson Veículos - Aracaju
RANGER,FORD,198000.0,37376.0,automatico,diesel,2020,2020,False,Mago Automóveis - Aracaju
TORO,FIAT,160000.0,29981.0,automatico,diesel,Azul,2021,False,VIA CAR VEÍCULOS
AMAROK,VOLKSWAGEN,174990.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,200000.0,81546.0,automatico,diesel,Branco,2019,False,JRCA Seminovos
COMPASS,JEEP,164990.0,38684.0,automatico,diesel,Azul,2021,False,JRCA Seminovos
COMPASS,JEEP,164990.0,38684.0,automatico,diesel,Azul,2021,False,JRCA Seminovos
RENEGADE,JEEP,114990.0,38333.0,automatico,diesel,Preto,2020,False,JRCA Seminovos
RENEGADE,JEEP,114990.0,38333.0,automatico,diesel,Preto,2020,False,JRCA Seminovos
COMPASS,JEEP,139990.0,50234.0,automatico,diesel,Prata,2020,False,JRCA Seminovos
COMPASS,JEEP,139990.0,50234.0,automatico,diesel,Prata,2020,False,JRCA Seminovos
CAPTUR,RENAULT,80000.0,56737.0,,flex,Branco,2019,False,JRCA Seminovos
CAPTUR,RENAULT,80000.0,56737.0,,flex,Branco,2019,False,JRCA Seminovos
POLO,VOLKSWAGEN,81000.0,40000.0,manual,flex,Branco,2022,False,JLA Corretora
SANDERO,RENAULT,43800.0,104000.0,manual,flex,Preto,2015,False,Aracaju Automóveis 
SANDERO,RENAULT,46800.0,103000.0,manual,flex,Laranja,2016,False,Aracaju Automóveis 
CRV,HONDA,88800.0,79000.0,automatico,gasolina,Preto,2012,False,Aracaju Automóveis 
TUCSON,HYUNDAI,45800.0,80000.0,automatico,flex,Preto,2012,False,Aracaju Automóveis 
WR-V,HONDA,81890.0,55704.0,automatico,flex,Prata,2018,False,Edson Veículos - Aracaju
SPIN,CHEVROLET,62990.0,65000.0,automatico,flex,Preto,2018,False,PEDRO IVO VEICULOS
RENEGADE,JEEP,135990.0,1750.0,automatico,flex,Azul,2022,False,Boa Terra Veículos Maceió
COMPASS,JEEP,150000.0,62000.0,automatico,diesel,Prata,2019,False,JLA Corretora
COMPASS,JEEP,113000.0,39000.0,automatico,flex,Preto,2018,False,Junior Veículos
UP,VOLKSWAGEN,56000.0,77000.0,manual,flex,Cinza,2018,False,Junior Veículos
SANDERO,RENAULT,46000.0,106000.0,manual,flex,Preto,2018,False,Junior Veículos
AMAROK,VOLKSWAGEN,199999.0,130000.0,automatico,diesel,Preto,2019,False,Junior Veículos
COROLLA,TOYOTA,162990.0,13219.0,automatico,flex,Preto,2022,False,Toyolex Seminovos - Aracaju
ONIX,CHEVROLET,64990.0,52903.0,manual,flex,Preto,2019,False,Toyolex Seminovos - Aracaju
COMPASS,JEEP,125990.0,44305.0,automatico,flex,Prata,2021,False,Autoforte Veículos Ltda
ARGO,FIAT,69990.0,21101.0,manual,flex,Cinza,2022,False,TOPCAR Veículos
LOGAN,RENAULT,54990.0,51230.0,manual,flex,Prata,2020,False,TOPCAR Veículos
COROLLA,TOYOTA,85990.0,81506.0,automatico,flex,Prata,2017,False,TOPCAR Veículos
PAJERO,MITSUBISHI,128800.0,150000.0,automatico,diesel,Branco,2015,False,Aracaju Automóveis 
JETTA,VOLKSWAGEN,115000.0,55000.0,,flex,Preto,2019,False,Mago Automóveis - Aracaju
COMPASS,JEEP,112000.0,60000.0,automatico,flex,2018,2018,False,Mago Automóveis - Aracaju
TORO,FIAT,165000.0,40635.0,automatico,diesel,Branco,2021,False,Mago Automóveis - Aracaju
